OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
2024-227B,CZ-3B R/B,62189,PRC,716.27,51.43,40119,161,,0,12/3/24,
2024-227A,TJS-13,62188,PRC,716.44,51.02,40117,172,,0,12/3/24,
2024-226C,CZ-12 R/B,62187,PRC,104.83,50,1032,942,,0,11/30/24,
2024-226B,OBJECT B,62186,PRC,105.86,50.01,1075,995,LARGE,0,11/30/24,
2024-226A,OBJECT A,62185,PRC,105.89,50.01,1077,995,LARGE,0,11/30/24,
2024-223A,KONDOR FKA NO.2,62138,CIS,94.82,97.44,512,508,,0,11/29/24,
2024-221C,ZQ-2E R/B,62113,PRC,92.52,49.93,611,185,LARGE,0,11/27/24,
2024-221B,GUANGCHUAN 02,62112,PRC,92.54,49.97,495,304,MEDIUM,0,11/27/24,
2024-221A,GUANGCHUAN 01,62111,PRC,92.54,49.97,494,304,LARGE,0,11/27/24,
2024-220Y,STARLINK-33551,62110,US,91.44,43,346,344,,0,11/25/24,
2024-220X,STARLINK-33556,62109,US,91.43,43,346,344,,0,11/25/24,
2024-220W,STARLINK-33553,62108,US,91.44,43,346,344,,0,11/25/24,
2024-220V,STARLINK-33559,62107,US,91.43,43,346,344,,0,11/25/24,
2024-220U,STARLINK-33557,62106,US,91.43,43,346,344,,0,11/25/24,
2024-220T,STARLINK-33542,62105,US,91.39,43,344,342,,0,11/25/24,
2024-220S,STARLINK-33555,62104,US,91.44,43,346,344,,0,11/25/24,
2024-220R,STARLINK-33554,62103,US,91.44,43,346,344,,0,11/25/24,
2024-220Q,STARLINK-33562,62102,US,91.43,43,346,344,,0,11/25/24,
2024-220P,STARLINK-33545,62101,US,91.43,43,346,344,,0,11/25/24,
2024-220N,STARLINK-33566,62100,US,91.43,43,346,344,,0,11/25/24,
2024-220M,STARLINK-11380,62099,US,91.43,43,346,344,,0,11/25/24,
2024-220L,STARLINK-11386,62098,US,91.43,43,346,344,,0,11/25/24,
2024-220K,STARLINK-11367,62097,US,91.44,43,346,344,,0,11/25/24,
2024-220J,STARLINK-11303,62096,US,91.43,43,346,344,,0,11/25/24,
2024-220H,STARLINK-11369,62095,US,91.44,43,346,344,,0,11/25/24,
2024-220G,STARLINK-11381,62094,US,91.43,43,346,344,,0,11/25/24,
2024-220F,STARLINK-11345,62093,US,91.43,43,346,344,,0,11/25/24,
2024-220E,STARLINK-11388,62092,US,91.44,43,346,344,,0,11/25/24,
2024-220D,STARLINK-11389,62091,US,91.44,43,346,344,,0,11/25/24,
2024-220C,STARLINK-11387,62090,US,91.43,43,346,344,,0,11/25/24,
2024-220B,STARLINK-11379,62089,US,91.44,43,346,344,,0,11/25/24,
2024-220A,STARLINK-11384,62088,US,91.44,43,346,344,,0,11/25/24,
2024-219G,ELECTRON R/B,62087,US,90.7,97.93,444,174,MEDIUM,0,11/25/24,
2024-219F,ELECTRON KICK STAGE R/B,62086,US,96.64,97.94,638,557,MEDIUM,0,11/25/24,
2024-219E,OBJECT E,62085,TBD,97.46,97.95,638,636,MEDIUM,0,11/25/24,
2024-219D,OBJECT D,62084,TBD,97.47,97.95,638,636,MEDIUM,0,11/25/24,
2024-219C,OBJECT C,62083,TBD,97.49,97.95,639,638,MEDIUM,0,11/25/24,
2024-219B,OBJECT B,62082,TBD,97.49,97.95,640,637,MEDIUM,0,11/25/24,
2024-219A,OBJECT A,62081,TBD,97.5,97.95,640,637,MEDIUM,0,11/25/24,
2024-218C,SUPERVIEW NEO-2 04,62080,PRC,94.75,97.44,508,505,LARGE,0,11/24/24,
2024-218B,SUPERVIEW NEO-2 03,62079,PRC,94.75,97.44,508,505,LARGE,0,11/24/24,
2024-218A,CZ-2C R/B,62078,PRC,95.07,97.55,560,484,LARGE,0,11/24/24,
2024-078F,SZ-18 MODULE,62077,PRC,92.03,41.48,379,369,,0,4/25/24,
2024-217V,STARLINK-32617,62076,US,90.78,53.16,313,312,,0,11/24/24,
2024-217U,STARLINK-32580,62075,US,90.78,53.16,313,312,,0,11/24/24,
2024-217T,STARLINK-32619,62074,US,90.78,53.16,313,312,,0,11/24/24,
2024-217S,STARLINK-32444,62073,US,90.97,53.16,322,321,,0,11/24/24,
2024-217R,STARLINK-32603,62072,US,90.78,53.16,313,312,,0,11/24/24,
2024-217Q,STARLINK-32553,62071,US,90.78,53.16,313,313,,0,11/24/24,
2024-217P,STARLINK-32604,62070,US,90.79,53.16,313,313,,0,11/24/24,
2024-217N,STARLINK-11460,62069,US,90.82,53.16,315,314,,0,11/24/24,
2024-217M,STARLINK-11467,62068,US,90.85,53.16,317,316,,0,11/24/24,
2024-217L,STARLINK-11472,62067,US,90.86,53.16,317,316,,0,11/24/24,
2024-217K,STARLINK-11463,62066,US,90.87,53.16,318,317,,0,11/24/24,
2024-217J,STARLINK-11474,62065,US,90.88,53.16,318,317,,0,11/24/24,
2024-217H,STARLINK-11456,62064,US,90.9,53.16,319,318,,0,11/24/24,
2024-217G,STARLINK-11427,62063,US,90.91,53.16,320,319,,0,11/24/24,
2024-217F,STARLINK-11470,62062,US,90.83,53.16,316,315,,0,11/24/24,
2024-217E,STARLINK-11429,62061,US,90.92,53.16,320,319,,0,11/24/24,
2024-217D,STARLINK-11473,62060,US,90.92,53.16,320,319,,0,11/24/24,
2024-217C,STARLINK-11454,62059,US,90.92,53.16,320,319,,0,11/24/24,
2024-217B,STARLINK-11426,62058,US,90.92,53.16,320,319,,0,11/24/24,
2024-217A,STARLINK-11465,62057,US,90.92,53.16,320,319,,0,11/24/24,
2024-013E,OBJECT E,62056,PRC,91.96,41.47,376,365,MEDIUM,0,1/17/24,
2024-216Z,STARLINK-32571,62055,US,91.44,43,346,344,LARGE,0,11/21/24,
2024-216Y,STARLINK-32408,62054,US,91.44,43,346,344,LARGE,0,11/21/24,
2024-216X,STARLINK-32494,62053,US,91.44,43,346,344,LARGE,0,11/21/24,
2024-216W,STARLINK-32495,62052,US,91.44,43,346,344,LARGE,0,11/21/24,
2024-216V,STARLINK-32496,62051,US,91.44,43,346,344,LARGE,0,11/21/24,
